2016-09-09,	44787
2016-09-10,	44586
2016-09-11,	39262
2016-09-12,	42667
2016-09-13,	49746
2016-09-14,	43645
2016-09-15,	38780
2016-09-16,	36125
2016-09-17,	31797
2016-09-18,	32304
2016-09-19,	36840
2016-09-20,	37441
2016-09-21,	38492
2016-09-22,	38324
2016-09-23,	44985
2016-09-24,	37708
2016-09-25,	39081
2016-09-26,	41089
2016-09-27,	41296
2016-09-28,	53158
2016-09-29,	70669
2016-09-30,	58802
2016-10-01,	49179
2016-10-02,	44043
2016-10-03,	32660
2016-10-04,	41797
2016-10-05,	39348
2016-10-06,	23874
2016-10-07,	25963
2016-10-08,	23848
2016-10-09,	23573
2016-10-10,	27459
2016-10-11,	27601
2016-10-12,	26521
2016-10-13,	24865
2016-10-14,	24934
2016-10-15,	20609
2016-10-16,	22301
2016-10-17,	26623
2016-10-18,	25319
2016-10-19,	29076
2016-10-20,	23217
2016-10-21,	22343
2016-10-22,	19571
2016-10-23,	20457
2016-10-24,	25670
2016-10-25,	27317
2016-10-26,	26489
2016-10-27,	27207
2016-10-28,	23258
2016-10-29,	22975
2016-10-30,	24828
2016-10-31,	26423
2016-11-01,	25856
2016-11-02,	26565
2016-11-03,	30183
2016-11-04,	28981
2016-11-05,	25849
2016-11-06,	25287
2016-11-07,	27790
2016-11-08,	26744
2016-11-09,	25489
2016-11-10,	117906
2016-11-11,	159186
2016-11-12,	33775
2016-11-13,	22762
2016-11-14,	24449
2016-11-15,	30817
2016-11-16,	33673
2016-11-17,	35712
2016-11-18,	50298
2016-11-19,	42964
2016-11-20,	47789
2016-11-21,	52663
2016-11-22,	51329
2016-11-23,	48490
2016-11-24,	46822
2016-11-25,	29973
2016-11-26,	25239
2016-11-27,	27955
2016-11-28,	31749
2016-11-29,	29694
2016-11-30,	27470
2016-12-01,	32666
2016-12-02,	36075
2016-12-03,	31115
2016-12-04,	23536
2016-12-05,	25527
2016-12-06,	28078
2016-12-07,	31498
2016-12-08,	28919
2016-12-09,	27988
2016-12-10,	25698
2016-12-11,	28806
2016-12-12,	31131
2016-12-13,	32777
2016-12-14,	32015
2016-12-15,	42333
2016-12-16,	28715
2016-12-17,	23503
2016-12-18,	23391
2016-12-19,	28247
2016-12-20,	29969
2016-12-21,	28531
2016-12-22,	29442
2016-12-23,	24747
2016-12-24,	20227
2016-12-25,	19035
2016-12-26,	23076
2016-12-27,	25138
2016-12-28,	28424
2016-12-29,	27197
2016-12-30,	24804
2016-12-31,	20197
2017-01-01,	26185
2017-01-02,	28560
2017-01-03,	31525
2017-01-04,	28955
2017-01-05,	35024
2017-01-06,	37353
2017-01-07,	33233
2017-01-08,	30571
2017-01-09,	32352
2017-01-10,	33550
2017-01-11,	35142
2017-01-12,	30960
2017-01-13,	33266
2017-01-14,	34418
2017-01-15,	26987
2017-01-16,	37466
2017-01-17,	32119
2017-01-18,	30628
2017-01-19,	32362
2017-01-20,	30079
2017-01-21,	29555
2017-01-22,	33041
2017-01-23,	37958
2017-01-24,	33083
2017-01-25,	31990
2017-01-26,	32775
2017-01-27,	29665
2017-01-28,	28045
2017-01-29,	55875
2017-01-30,	32284
2017-01-31,	31334
2017-02-01,	30124
2017-02-02,	31924
2017-02-03,	27526
2017-02-04,	24955
2017-02-05,	30714
2017-02-06,	33347
2017-02-07,	37804
2017-02-08,	33664
2017-02-09,	36645
2017-02-10,	29067
2017-02-11,	24300
2017-02-12,	29004
2017-02-13,	32764
2017-02-14,	33632
2017-02-15,	30330
2017-02-16,	30942
2017-02-17,	28747
2017-02-18,	26708
2017-02-19,	26266
2017-02-20,	37017
2017-02-21,	32837
2017-02-22,	36489
2017-02-23,	33894
2017-02-24,	33952
2017-02-25,	28785
2017-02-26,	27813
2017-02-27,	31283
2017-02-28,	30633
2017-03-01,	33258
2017-03-02,	29234
2017-03-03,	28912
2017-03-04,	23709
2017-03-05,	23970
2017-03-06,	31878
2017-03-07,	30962
2017-03-08,	29290
2017-03-09,	28652
2017-03-10,	27218
2017-03-11,	25319
2017-03-12,	26416
2017-03-13,	28475
2017-03-14,	31696
2017-03-15,	31997
2017-03-16,	30443
2017-03-17,	28411
2017-03-18,	23845
2017-03-19,	25132
2017-03-20,	29705
2017-03-21,	26941
2017-03-22,	34204
2017-03-23,	31416
2017-03-24,	30360
2017-03-25,	25596
2017-03-26,	36487
2017-03-27,	35773
2017-03-28,	30866
2017-03-29,	29235
2017-03-30,	30333
2017-03-31,	30709
2017-04-01,	23762
2017-04-02,	24969
2017-04-03,	33614
2017-04-04,	35923
2017-04-05,	31198
2017-04-06,	32455
2017-04-07,	28156
2017-04-08,	24879
2017-04-09,	23871
2017-04-10,	30624
2017-04-11,	33896
2017-04-12,	31360
2017-04-13,	27592
